id_charlton,title
1000,La Journée aux aventures
1004,Le Jugement de Midas
1018,Le Kiosque
1027,Lambert Simnel
1028,La Langue musicale
1030,Le Lapin blanc ou Toby
1044,Leicester ou le Château de Kenilworth
1045,Léocadie
1050,Léonore et Félix ou C'est la même !
1052,Lequel ?
1053,Lestocq ou l'Intrigue et l'amour
1055,La Lettre de change
1056,La Lettre posthume
1064,Le Livre de l'ermite
1067,Lodoïska
1073,Le Loup-garou
1080,Ludovic
1081,Lulli et Quinault ou le Déjeuner impossible
1084,Le Luthier de Vienne
1086,Ma Tante Aurore ou le Roman impromptu
1089,Le Maçon
1099,Mademoiselle de Mérange
1103,Le Magicien sans magie
1105,Le Magnifique
1107,La Main de fer ou Un mariage secret
1108,Maison à vendre
1110,La Maison isolée ou le Vieillard des Vosges
1115,Le Maître de chapelle ou le Souper imprévu
1122,Le Malheur d'être jolie
1128,Le Mannequin de Bergame
1131,La Mantille
1135,Le Marchand forain
1138,Le Maréchal Fabert ou Une petite aventure d'un grand homme
1140,Marguerite
1142,Le Mari au bal
1144,Le Mari de circonstance
1145,Le Mariage à l'anglaise
1151,Le Mariage difficile ou les Deux Cousins
1160,Marianne ou l'Amour maternel
1161,Marie
1164,Marie Stuart en Écosse ou le Château de Douglas
1170,Les Maris garçons
1174,La Marquise
1175,La Marquise de Brinvilliers
1177,Masaniello ou le Pêcheur napolitain
1179,La Maschera
1189,Le Mauvais Œil
119,L'Artisan
1194,Le Médecin turc
1195,La Médecine sans médecin
1200,La Mélomanie
1203,Le Ménétrier ou les Deux Duchesses
1208,Les Méprises par ressemblance
1213,Michel-Ange
1214,Micheline ou l'Heure de l'Esprit
1219,Mina ou le Ménage à trois
1233,Monsieur Deschalumeaux ou la Soirée de carnaval
1234,Montano et Stéphanie
1235,Les Monténégrins
1236,Le Morceau d'ensemble
1237,Le Mort fiancé
1239,Le Moulin des tilleuls
1240,Le Mousequetaire
1241,Les Mousquetaires de la reine
1244,Le Muletier
125,L'Aspirant de marine
1250,Nadir et Selim ou les Deux Artistes
1254,Ne touchez pas à la reine !
1257,Le Négociant de Hambourg
1260,La Neige ou le Nouvel Eginhard
1264,Nina ou la Folle par amour
1266,Ninon chez Madame de Sévigné
1280,Le Nouveau Seigneur de village
1287,La Nuit de Noël ou l'Anniversaire
1294,L'Officier enlevé ou l'Enlèvement singulier
1295,L'Officier et le paysan
1304,On ne s'avise jamais de tout
1307,L'Opéra à la cour
1310,L'Opéra-Comique
1312,Oreste et Pylade
1318,L'Orphelin et le brigadier
132,Attendre et courir
1328,Le Panier fleuri
1329,Le Panorama de Paris ou C'est fête partout !
1334,Le Paradis de Mahomet ou la Pluralité des femmes
1338,Le Pari de la duchesse d'Alençon
1341,La Part du diable
1349,Le Passage du régiment
1352,Paul et Virginie
1357,Le Pavillon des fleurs ou les Pêcheurs de Grenade
1370,Le Pendu
1373,Le Pensionnat de jeunes demoiselles
1380,La Perruche
1382,Le Perruquier de la Régence
1383,Le Petit Chaperon rouge
1386,Le Petit Matelot ou le Mariage impromptu
1388,Le Petit Souper
139,L'Auberge d'Auray
1393,Les Petits Appartements
1397,Philippe et Georgette
1399,Le Philosophe en voyage
14,Les Adieux au public
140,L'Auberge de Bagnères
1403,Picaros et Diego
1407,Pierre et Catherine
141,L'Auberge supposée
1411,Piquillo
1416,Le Planteur
142,Les Aubergistes de qualité
1422,Le Podestat
1428,Polichinelle
1432,Les Pontons de Cadix
1434,Le Porte-faix
1439,Le Postillon de Lonjumeau
1444,Le Pré-aux-clercs
1450,Le Premier pas
1452,Le Premier venu ou Six Lieues de chemin
1469,La Prison d'Edimbourg
147,L'Auteur mort et vivant
1470,Le Prisonnier ou la Ressemblance
1472,Le Prisonnier d'état
1476,Le Projet de pièce ou les Deux Mousquetaires
1479,Le Proscrit ou le Tribunal invisible
1486,Le Public vengé
1487,Le Puits d'amour
149,L'Automate de Vaucanson
1493,Les Quatre Fils Aymon
1503,"Raoul, Sire de Créqui"
1513,Régine ou Deux nuits
1515,La Reine d'un jour
1517,La Reine Jeanne
1518,Le Remplaçant
1520,Renaud d'Ast
1523,Les Rencontres ou le Même Roman
1527,Les Rendez-vous bourgeois
153,Avis au public ou le Physionomiste en défaut
1544,Le Revenant
1546,Le Rêveur éveillé
1550,Richard Cœur-de-Lion
1559,Les Rivaux de village ou la Cruche cassée
1560,Robin des bois
1563,Rock le Barbu
157,Azémia ou les Sauvages
1571,Le Roi d'Yvetot
1572,Le Roi de Sicile
1574,Le Roi et le batelier
1577,Le Roi René ou la Provence au Xve siècle
1583,Roméo et Juliette
1589,La Rose de Péronne
1596,Les Rosières
16,Adolphe et Clara ou les Deux Prisonniers
1605,La Saint-Sylvestre
1606,La Sainte-Cécile
1612,Sangarido
1619,Sarah ou l'Orpheline de Glencoë
1621,Sargines ou l'Élève de l'amour
1631,Le Secret
1634,Le Séjour militaire
1635,La Sentinelle perdue
1639,La Sérénade
1644,Le Shérif
1648,Il Signor Pascarello
1649,Silvain
1652,La Sirène
1655,Les Sœurs jumelles
1658,La Soirée orageuse
1664,Le Solitaire
1676,Le Souper du mari
1679,La Sournoise
1680,Les Souvenirs de Lafleur
1687,Stratonice
169,Le Bal du Sous-préfet
1697,Le Sultan Saladin
1698,Sultana
1708,La Symphonie ou Maître Albert
1711,Le Table et le logement
1713,Le Tableau parlant
1722,Térésa
1724,Le Testament et les billets doux
1729,Thérèse
1733,Le Timide ou le Nouveau séducteur
1741,Le Tonnelier
1742,Le Toréador ou l'Accord parfait
1746,Le Traité nul
1747,Les Travestissements
1749,Les Treize
1752,Le Trésor supposé ou le Danger d'écouter aux portes
1765,Trois Jours en une heure
1772,Le Trompette de Monsieur le prince
1777,Les Troqueurs
1783,Un caprice de femme
1784,Un conte d'autrefois
1785,Un jour à Paris ou la Leçon singulière
1787,Un jour de réception
1793,Une Bonne fortune
1795,Une folie
1796,Une heure d'absence
1797,Une heure de mariage
1798,Une journée de la Fronde ou la Maison du rempart
1803,Une nuit au château
1808,Une nuit de Gustave Wasa ou le Batelier suédois
1809,L'Une pour l'autre ou l'Enlèvement
1810,Une voix
1817,Le Val d'Andorre
1820,Valentine de Milan
1821,Le Valet de chambre
1830,La Vieille
1837,Le Veuf de Malabar
1844,La Vieille
1848,La Violette
1851,Les Visitandines
1856,Les Voitures versées
186,La Barcarolle ou l'Amour et la musique
1862,Le Voyage de cour ou les Absents ont tort
1864,Le Voyage incognito
1866,Wallace ou le Ménestrel écossais
1873,Zampa ou la Fiancée de marbre
1874,Zanetta ou Jouer avec le feu
1878,Zémire et Azor
1882,Zoraïme et Zulnar
1885,Zurich
20,L'Äieule
214,Beniowski ou les Exilés du Kamtschatka
219,La Bergère châtelaine
222,Les Bergers trumeaux
225,Le Billet de loterie
228,Blaise et Babet ou la Suite des Trois Fermiers
24,L'Alcade de la Véga
241,Le Bon Garçon
251,Le Bouffe et le tailleur
254,Le Bouquet de l'infante
259,Le Bourgeois de Reims
26,Alda
263,Le Braconnier
265,Le Brasseur de Preston
277,La Cachette
281,Cagliostro
283,Le Caïd
284,Le Calife de Bagdad
288,Camille ou le Souterrain
29,"Aline, reine de Golconde"
290,Le Camp du drap d'or
298,Le Capitaine Belronde
30,Alix
305,Le Caquet du couvent
306,Les Caquets
309,Carline
332,Cendrillon
335,Le Cent-Suisse
342,Le Châlet
343,La Chambre à coucher ou Une demi-heure de Richelieu
353,Les Chaperons blancs
356,La Charbonnière
36,L'Amant et le mari
360,Le Charme de la voix
364,Le Château d'Urtuby
367,Le Château de Monténéro
37,L'Amant jaloux
375,Le Cheval de bronze
378,Le Chevalier de Canolle
393,Cinq ans d'entr'acte
408,La Clochette ou le Diable page
413,Le Code noir
425,Le Colporteur ou l'Enfant du bucheron
431,Le Comte d'Albert
435,Le Concert à la cour ou la Débutante
436,Le Concert interrompu
444,Le Conseil des Dix
449,Le Coq de village
45,L'Amazone
453,Corisandre ou la Rose magique
459,Cosimo
46,L'Amazone
469,Les Créoles
47,L'Ambassadrice
48,Ambroise ou Voilà ma journée
480,La Dame blanche
481,La Dame d'honneur
490,Danilowa
51,L'Ami de la maison
512,Le Délire ou les Suites d'une erreur
517,Le Déserteur
525,Les Dettes
532,Les Deux Bambins
533,Les Deux Bergères
537,Les Deux Contrats de mariage
540,Les Deux Familles
541,Les Deux Gentilshommes
543,Les Deux Jaloux
544,Les Deux Journées ou le Porteur d'eau
549,Deux Mots ou Une nuit dans la forêt
550,Les Deux Mousquetaires ou la Robe de chambre
551,Les Deux Nuits
554,Les Deux Petits Savoyards
557,Les Deux Reines
564,Les Deux Tuteurs
566,Les Deux Voleurs
57,Amour et colère
570,Le Diable à l'école
573,Le Diable à quatre ou la Femme acariâtre
574,Le Diable à Seville
577,Le Diadesté ou la Gageure arabe
579,Les Diamants de la couronne
582,Le Dilettante d'Avignon
601,Le Domino noir
61,L'Amour filial ou la Jambe de bois
614,La Dot
618,La Double Échelle
622,Le Duc d'Aquitaine ou le Retour
623,Le Duc d'Olonne
624,Le Duel ou Une loi de Frédéric
629,L'Eau merveilleuse
631,L'Échelle de soie
632,L'Éclair
640,Edmond et Caroline ou la Lettre et la réponse
643,L'Élève de Presbourg
650,Emeline
651,Emma ou la Promesse imprudente
662,Les Enfants de Maître Pierre
664,L'Enlèvement ou les Guelfes et les Gibelins
666,Les Enlèvements imprévus
673,L'Épreuve villageoise
681,L'Esclave de Camoëns
687,Ethelvina ou l'Exilé
694,Euphrosine ou le Tyran corrigé
695,Eva
696,Les Événements imprévus
699,L'Exil de Rochester
706,Fanfan et Colas ou les Frères de lait
714,La Fausse Croisade ou l'Habit de page
717,La Fausse Magie
727,La Fée aux roses
729,Félicie ou la Jeune fille romanesque
730,Félix ou l'Enfant trouvé
740,Les Femmes vengées
762,La Fête du village voisin
767,La Fiancée
771,Le Fidèle Berger
774,La Figurante ou l'Amour et la danse
779,La Fille du régiment
784,Le Fils du prince
787,Fiorella
791,Les Fleurs du château
8,Actéon
80,L'An Mil
811,Fra Diavolo ou l'Hôtellerie de Terracine
819,Françoise de Foix
821,Frère et mari
822,Le Frère Philippe
834,Gasparo
843,Gibby la cornemuse
845,Gille ravisseur
851,Les Gondoliers
855,Le Grand Prix ou le Voyage à frais communs
857,La Grande Duchesse
86,Angélique et Médor
861,La Grille du parc ou le Premier Parti
866,Guillaume Tell
868,Guise ou les Etats de Blois
869,Le Guitarrero
871,Gulistan ou le Hulla de Samarcande
872,Gulnare ou l'Esclave persane
876,L'Habit du chevalier de Grammont
877,L'Habit retourné
88,L'Angélus
880,Haydée ou le Secret
897,L'Homme sans fançons ou les Contrariétés
906,L'Idiote
913,L'Illusion
926,Les Infidèles
927,L'Ingénue
929,Hommage à Boieldieu
931,L'Intrigue au château
932,L'Intrigue aux fenêtres
936,L'Irato ou l'Emporté
952,Jadis et aujourd'hui
964,Jean de Paris
965,Jean et Geneviève
967,Jeanne d'Arc à Orléans
968,Jeannot et colin
969,Jenny
971,Jenny la bouquetière
976,La Jeune Femme colère
978,Le Jeune Oncle
979,La Jeune Prude ou les Femmes entre elles
981,La Jeune Tante
983,La Jeunesse de Charles-Quint
990,Joconde ou les Coureurs d'aventures
995,Joseph
997,Joséphine ou le Retour de Wagram
